Date,Open,High,Low,Close,Volume
2020-01-02,332,339,332,339,31656
2020-01-03,344,345,335,339,41711
2020-01-06,333,334,332,332,44900
2020-01-07,332,333,326,329,50762
2020-01-08,325,333,325,329,37426
2020-01-09,335,337,333,337,31372
2020-01-10,340,341,336,339,26898
2020-01-13,342,342,339,341,30553
2020-01-14,345,346,344,346,30059
2020-01-15,345,345,337,340,47213
2020-01-16,330,336,330,334,55090
2020-01-17,334,335,332,333,51843
2020-01-20,334,335,333,333,32503
2020-01-30,326,326,316,316,124939
2020-01-31,323,323,319,320,62240
2020-02-03,315,316,312,315,59317
2020-02-04,319,326,318,325,51738
2020-02-05,329,329,324,327,36361
2020-02-06,329,332,329,332,29112
2020-02-07,330,330,326,328,28688
2020-02-10,321,328,321,327,30524
2020-02-11,330,332,330,331,27429
2020-02-12,333,336,333,335,37440
2020-02-13,338,338,335,335,22671
2020-02-14,337,337,334,335,16874
2020-02-17,331,333,330,331,15806
2020-02-18,324,326,322,322,61560
2020-02-19,322,327,322,326,38610
2020-02-20,328,329,325,325,26890
2020-02-21,325,326,323,325,22727
2020-02-24,319,321,319,320,41452
2020-02-25,320,323,317,322,36043
2020-02-26,317,320,316,318,60324
2020-02-27,319,320,315,316,60981
2020-03-02,308,317,308,311,79612
2020-03-03,318,320,316,317,49523
2020-03-04,322,322,317,320,42792
2020-03-05,325,326,323,323,37756
2020-03-06,320,320,315,315,51305
2020-03-09,307,310,305,305,87466
2020-03-10,301,309,301,307,71792
2020-03-11,309,310,302,302,61705
2020-03-12,299,299,287,294,113131
2020-03-13,275,294,272,290,149593
2020-03-16,285,291,275,276,103257
2020-03-17,265,276,265,268,120713
2020-03-18,269,272,260,260,116353
2020-03-19,252,253,235,248,160180
2020-03-20,258,270,256,270,156269
2020-03-23,257,262,252,255,76040
2020-03-24,268,274,266,267,81716
2020-03-25,276,280,274,277,79026
2020-03-26,279,280,275,280,52605
2020-03-27,284,286,273,273,68516
2020-03-30,263,269,262,267,48934
2020-03-31,273,274,269,274,48632
2020-04-01,276,276,271,271,44068
2020-04-06,273,275,270,275,56174
2020-04-07,283,284,280,283,48501
2020-04-08,285,285,283,285,37446
2020-04-09,287,288,282,283,27488
2020-04-10,280,282,279,279,27121
2020-04-13,278,281,278,278,22071
2020-04-14,281,285,280,285,48646
2020-04-15,287,288,286,287,55090
2020-04-16,283,288,283,286,47711
2020-04-17,303,308,300,306,115957
2020-04-20,308,309,302,304,41211
2020-04-21,300,301,293,295,61230
2020-04-22,294,295,290,294,42009
2020-04-23,300,300,294,295,39382
2020-04-24,295,297,294,294,25882
2020-04-27,298,298,296,298,38493
2020-04-28,298,298,294,296,37164
2020-04-29,299,301,298,299,43902
2020-04-30,302,305,301,304,54890
2020-05-04,294,296,294,295,71357
2020-05-05,296,298,295,295,23399
2020-05-06,294,296,292,296,34164
2020-05-07,294,299,294,297,27486
2020-05-08,300,300,296,297,32095
2020-05-11,300,301,298,301,28562
2020-05-12,297,298,295,295,51929
2020-05-13,293,297,292,297,25978
2020-05-14,293,295,292,293,34035
2020-05-15,297,298,294,298,42219
2020-05-18,291,293,290,290,84605
2020-05-19,294,294,291,291,51055
2020-05-20,293,294,291,294,32360
2020-05-21,296,298,295,297,30797
2020-05-22,294,295,291,292,39870
2020-05-25,290,293,288,292,26688
2020-05-26,295,297,293,295,33725
2020-05-27,297,298,295,296,23243
2020-05-28,298,298,293,294,28327
2020-05-29,292,292,290,292,79509
2020-06-01,294,296,293,295,35694
2020-06-02,296,297,296,296,24680
2020-06-03,300,301,298,301,64892
2020-06-04,305,306,304,306,46316
2020-06-05,308,312,308,311,42644
2020-06-08,316,319,315,318,50028
2020-06-09,316,319,314,319,36175
2020-06-10,319,324,318,322,39788
2020-06-11,325,327,318,320,49879
2020-06-12,313,317,312,316,45716
2020-06-15,316,317,308,309,50612
2020-06-16,317,317,314,315,36513
2020-06-17,316,317,313,315,34340
2020-06-18,314,315,313,314,28922
2020-06-19,314,314,312,314,47828
2020-06-22,314,316,312,312,37295
2020-06-23,316,316,312,315,41183
2020-06-24,319,320,316,317,54019
2020-06-29,314,315,310,312,56455
2020-06-30,313,314,311,313,48784
2020-07-01,315,318,314,317,29367
2020-07-02,319,322,318,322,34314
2020-07-03,327,330,326,329,53011
2020-07-06,332,338,332,338,56874
2020-07-07,343,346,338,338,58695
2020-07-08,337,342,337,341,30538
2020-07-09,346,347,343,345,35522
2020-07-10,352,353,345,348,60586
2020-07-13,351,354,350,354,47730
2020-07-14,355,364,354,363,61310
2020-07-15,366,370,361,363,73072
2020-07-16,359,361,353,357,67953
2020-07-17,361,369,360,367,65727
2020-07-20,370,370,362,366,42616
2020-07-21,372,387,371,383,63844
2020-07-22,381,386,379,384,43498
2020-07-23,382,383,379,381,45052
2020-07-24,390,395,382,386,86375
2020-07-27,420,424,416,424,98932
2020-07-28,464,466,428,435,165650
2020-07-29,428,431,419,422,85236
2020-07-30,436,441,428,434,68963
2020-07-31,426,432,425,425,49494
2020-08-03,420,424,415,416,75979
2020-08-04,421,425,418,425,40874
2020-08-05,430,433,426,429,47005
2020-08-06,437,438,431,435,40803
2020-08-07,433,434,428,433,36385
2020-08-10,427,437,427,435,35879
2020-08-11,432,435,429,429,34011
2020-08-12,422,423,419,419,51753
2020-08-13,428,429,424,429,44171
2020-08-14,424,428,423,427,23308
2020-08-17,427,435,425,435,33914
2020-08-18,440,440,432,433,41381
2020-08-19,436,436,427,427,31212
2020-08-20,427,427,401,415,74781
2020-08-21,421,427,420,424,41480
2020-08-24,427,434,425,428,47649
2020-08-25,433,436,430,434,35836
2020-08-26,435,442,435,442,38957
2020-08-27,448,453,444,444,52848
2020-08-28,440,440,431,435,56551
2020-08-31,437,439,426,426,80164
2020-09-01,430,435,428,435,37273
2020-09-02,441,441,430,433,34663
2020-09-03,439,439,433,436,34823
2020-09-04,427,432,427,429,45913
2020-09-07,428,432,425,426,31736
2020-09-08,428,433,427,431,23630
2020-09-09,425,428,423,427,40300
2020-09-10,432,435,430,435,34790
2020-09-11,435,436,432,436,34055
2020-09-14,436,442,435,441,38909
2020-09-15,440,447,439,445,38864
2020-09-16,460,462,455,458,63900
2020-09-17,453,455,446,448,41825
2020-09-18,447,449,443,444,51868
2020-09-21,443,450,440,440,39098
2020-09-22,440,441,436,437,35942
2020-09-23,436,438,432,433,45523
2020-09-24,425,429,423,423,79357
2020-09-25,427,428,421,424,38596
2020-09-28,427,431,424,431,33978
2020-09-29,432,435,428,431,32094
2020-09-30,430,435,430,433,27155
2020-10-05,438,438,431,432,32864
2020-10-06,441,442,437,439,35599
2020-10-07,435,445,435,443,42778
2020-10-08,450,454,448,453,60388
2020-10-12,458,462,457,460,64421
2020-10-13,465,465,456,462,45467
2020-10-14,460,461,457,459,40588
2020-10-15,456,456,450,453,47525
2020-10-16,451,456,448,449,46526
2020-10-19,453,457,451,457,34289
2020-10-20,455,457,451,451,25033
2020-10-21,453,456,451,453,27947
2020-10-22,450,455,449,455,23362
2020-10-23,458,458,451,452,18687
2020-10-26,455,455,450,450,14958
2020-10-27,447,448,445,447,19988
2020-10-28,445,447,443,444,24568
2020-10-29,436,439,435,437,41102
2020-10-30,437,437,432,432,47191
2020-11-02,433,435,428,435,33300
2020-11-03,439,443,438,441,30227
2020-11-04,444,451,443,450,37288
2020-11-05,451,451,445,451,34789
2020-11-06,455,455,450,452,30045
2020-11-09,458,460,454,458,39058
2020-11-10,452,454,448,451,34577
2020-11-11,448,457,448,457,36550
2020-11-12,463,463,457,458,39980
2020-11-13,459,462,456,462,30846
2020-11-16,470,484,469,484,81620
2020-11-17,502,506,485,485,71847
2020-11-18,490,497,486,497,50132
2020-11-19,499,499,490,490,44055
2020-11-20,486,490,486,488,32169
2020-11-23,494,498,492,496,37877
2020-11-24,499,500,491,492,35282
2020-11-25,495,495,487,487,40982
2020-11-26,489,493,488,489,28823
2020-11-27,487,492,486,489,32884
2020-11-30,493,493,480,480,119498
2020-12-01,489,490,483,490,36915
2020-12-02,499,500,493,499,50422
2020-12-03,499,499,495,497,35557
2020-12-04,498,505,497,503,50920
2020-12-07,512,515,506,514,43884
2020-12-08,514,525,509,524,40585
2020-12-09,521,524,520,520,42864
2020-12-10,511,515,510,512,42328
2020-12-11,517,517,505,516,45423
2020-12-14,512,513,508,508,30048
2020-12-15,507,510,504,504,39676
2020-12-16,509,515,507,512,51895
2020-12-17,515,515,508,508,38118
2020-12-18,508,512,507,510,39787
2020-12-21,512,517,508,516,35153
2020-12-22,512,516,509,509,22071
2020-12-23,508,511,506,509,17951
2020-12-24,511,512,508,510,14877
2020-12-25,514,515,510,511,12271
2020-12-28,512,515,509,515,18917
2020-12-29,515,517,513,515,19823
2020-12-30,516,525,514,525,46098
2020-12-31,526,530,524,530,30326
2021-01-04,530,540,528,536,38559
2021-01-05,536,542,535,542,34234
2021-01-06,555,555,541,549,52874
2021-01-07,554,570,553,565,50976
2021-01-08,580,580,571,580,58882
2021-01-11,577,584,574,584,48580
2021-01-12,583,597,582,591,49940
2021-01-13,595,605,593,605,62382
2021-01-14,587,597,587,592,74952
2021-01-15,621,625,601,601,91372
2021-01-18,608,608,594,607,45499
2021-01-19,618,632,613,627,50384
2021-01-20,633,650,631,647,81644
2021-01-21,640,679,640,673,88783
2021-01-22,649,665,649,649,124414
2021-01-25,642,646,626,633,92646
2021-01-26,632,640,610,617,99601
2021-01-27,618,625,611,615,59771
2021-01-28,600,608,598,601,96108
2021-01-29,619,619,591,591,89819
2021-02-01,595,612,587,611,67067
2021-02-02,629,638,622,632,78167
2021-02-03,638,642,630,630,48518
2021-02-04,626,632,620,627,46198
2021-02-05,638,641,631,632,52983
2021-02-17,663,668,660,663,107300
2021-02-18,664,665,656,660,52870
2021-02-19,656,657,647,652,50071
2021-02-22,660,662,650,650,36281
2021-02-23,641,643,633,641,49716
2021-02-24,627,636,625,625,65763
2021-02-25,636,636,628,635,43009
2021-02-26,611,618,606,606,111483
2021-03-02,621,622,609,609,53530
2021-03-03,609,622,601,622,47944
2021-03-04,609,611,601,601,67387
2021-03-05,588,605,584,601,79687
2021-03-08,608,610,598,598,42698
2021-03-09,585,595,585,595,68452
2021-03-10,601,601,593,597,39933
2021-03-11,596,612,595,609,54261
2021-03-12,615,618,609,614,33039
2021-03-15,614,614,609,611,27266
2021-03-16,610,613,607,613,36771
2021-03-17,612,612,602,604,39368
2021-03-18,606,609,602,602,29291
2021-03-19,594,598,591,591,70281
2021-03-22,588,598,586,593,33975
2021-03-23,597,603,593,594,29273
2021-03-24,571,582,571,576,106711
2021-03-25,572,581,570,575,67594
2021-03-26,582,592,580,590,36697
2021-03-29,599,602,596,599,37695
2021-03-30,600,600,592,597,32964
2021-03-31,596,597,587,587,38545
2021-04-01,598,602,594,602,42778
2021-04-06,615,616,608,610,36433
2021-04-07,614,614,608,610,24465
2021-04-08,606,613,603,613,23745
2021-04-09,618,618,609,610,27159
2021-04-12,612,613,603,605,22421
2021-04-13,604,613,604,605,25818
2021-04-14,608,612,600,612,29787
2021-04-15,612,619,607,619,33022
2021-04-16,610,611,603,610,48372
2021-04-19,605,607,601,603,24068
2021-04-20,598,602,595,602,34547
